선정 여부,주차,신청 번호,신청 일자,시작 일자,브랜드,,타이틀,프로모션 내용,URL,이미지,비고,팀명
,2,562935,2026-01-09 2:00:00,2026-01-08 15:00:00,foowearcategorymkt,1월 슈즈위크_앱푸시,신년 맞이 슈즈 최대 80% 할인\\n올해를 책임질 스니커즈,신년 맞이 슈즈 최대 80% 할인\\n올해를 책임질 스니커즈,https://www.musinsa.com/campaign/shoesweek2601/0,https://image.msscdn.net/campaign_service/images/cpcms/2025/07e85205dc40464eb632ecaea7bdea62.jpg,슈즈위크 기간 내라면 앱푸시 일자는 상관없습니다!,스포츠카테고리마케팅
,2,561695,2026-01-11 15:00:00,2026-01-11 15:00:00,misekiseoul,미세키서울 리틀레이 미니컬렉션 발매,미세키서울 리틀레이 미니컬렉션 발매,선발매 단독할인,https://www.musinsa.com/content/1459004193715452053,https://image.msscdn.net/cms/v2/content/file_1767924773146_681786100_cxbnq8.jpg,,여성패션
,2,563998,2026-01-11 15:00:00,2026-01-11 15:00:00,beautycategorymkt,1월 뷰티위크 앱푸시,뷰티위크 최대 80% 할인 + 최대 30% 쿠폰,"뷰티위크 최대 80% 할인 + 최대 30% 쿠폰, 12,000원 쿠폰 + 최대 6천원 즉시 할인 결제 혜택",https://www.musinsa.com/campaign/beautyweek2601,https://image.msscdn.net/campaign_service/images/cpcms/2026/9ffad95bb48d4e9cbb40abee10ab9eb4.jpg,,패션 & 뷰티카테고리마케팅
,3,565487,2026-01-12 2:00:00,2026-01-11 15:00:00,misekiseoul,미세키서울 리틀레이 미니컬렉션 발매,미세키서울 리틀레이 미니컬렉션 발매,댓글 이벤트 진행,https://www.musinsa.com/content/1459004193715452053,https://image.msscdn.net/cms/v2/content/file_1767924773146_681786100_cxbnq8.jpg,,여성패션
,3,565599,2026-01-12 2:00:00,2026-01-11 15:00:00,brandmarketing,무신사 12월 월간랭킹,랭킹 리포트로 보는 12월 트렌드 패션/슈즈/뷰티 카테고리 별 가장 사랑받은 브랜드 TOP 10 확인하기,2025년 무신사 연간 랭킹,https://www.musinsa.com/content/1448189205562589703,https://image.msscdn.net/cms/v2/content/file_1767675772309_889705799_qg5n4h.jpg,"- ML-300353 신청 이력 있음
ㄴ1월 2주차에 발송 희망하여 신청했으나, 스케줄 마감된것같아 1월 3주차에 한번 더 신청드립니다!",브랜드마케팅2
,3,559213,2026-01-12 5:00:00,2026-01-11 15:00:00,holibanum,홀리바넘 2026 밀라노 올림픽 에디션,홀리바넘 2026 밀라노 올림픽 에디션,밀라노 올림픽 에디션 발매 기념 인기 상품 추가 할인,https://www.musinsa.com/content/1463365592371918123,https://image.msscdn.net/cms/v2/content/file_1769404631567_35334700_ki1zok.jpg,,라이프
,3,562543,2026-01-12 9:00:00,2026-01-11 15:00:00,weverse,[무신사 드롭] 세븐틴 도겸/승관 유닛,세븐틴 도겸/승관 소야곡,세븐틴 도겸/승관 소야곡,https://www.musinsa.com/content/1458324549109765684,https://image.msscdn.net/cms/v2/content/file_1767835558523_10570200_gf8pk6.jpg,,트렌드상품 & IP 기획
,3,564518,2026-01-14 2:00:00,2026-01-13 15:00:00,kidscategorymkt,키즈 책가방 페스티벌_앱푸시,키즈 책가방 페스티벌,최대 80% + 15% 쿠폰,https://www.musinsa.com/campaign/kids_schoolbag_2026,https://image.msscdn.net/campaign_service/images/cpcms/2026/10e280222bd24c1ca2974880fab5d529.jpg,,스포츠카테고리마케팅
,3,558970,2026-01-14 11:00:00,2026-01-13 15:00:00,timberland,팀버래드 헤리티지 목토슈즈 단독 재입고,팀버랜드 헤리티지 목토 단독 재입고,별도 프로모션 없음,https://www.musinsa.com/content/1448956355612600341,https://image.msscdn.net/cms/v2/content/file_1765528646587_2916362099_jwg6hz.jpg,,무신사풋웨어
,3,564559,2026-01-14 11:00:00,2026-01-13 15:00:00,nobev,"재유x 노베브마켓, 최대 50% | 무신사 단독 쉐딩팟 증정","재유x 노베브마켓, 최대 50% | 무신사 단독 쉐딩팟 증정","재유x 노베브마켓, 최대 50% | 무신사 단독 쉐딩팟 증정",https://www.musinsa.com/content/1449954105331674521,https://image.msscdn.net/cms/v2/content/file_1767768290344_1716808099_9sdq1r.jpg,,뷰티1
,3,559458,2026-01-15 2:00:00,2026-01-14 15:00:00,puma,1/15 푸마 스피드캣 단독 무신사 에디션 발매,푸마 스피드캣 단독 상품 발매,푸마 스피드캣 단독 상품 발매,https://www.musinsa.com/content/1458334105542022280,https://image.msscdn.net/cms/v2/content/file_1768370363234_11392799_70udzx.jpg,,무신사풋웨어
,3,565020,2026-01-15 2:00:00,2026-01-14 15:00:00,lee,리 x NCT 재민,리 x NCT 재민,"포토카드 증정, 5%할인 + 5% 쿠폰",https://www.musinsa.com/content/1460192321720769691,https://image.msscdn.net/cms/v2/content/file_1768208168806_853348299_0lya2q.jpg,화제성 이슈,여성패션
,3,565082,2026-01-15 2:00:00,2026-01-14 15:00:00,newbalance,뉴발란스 204 LNY 스웨이드,뉴발란스 204 LNY 스웨이드,뉴발란스 204 주요 컬러 온라인 선발매,https://www.musinsa.com/content/1458003373737834868,https://image.msscdn.net/cms/v2/content/file_1768197888297_100632400_k98zno.jpg,,무신사풋웨어
,3,562466,2026-01-15 15:00:00,2026-01-15 15:00:00,adidas,아디다스 모터스포츠 특별기획전,뜨거운 트랙 스타일 F1 컬렉션,"메르세데스, 아우디",https://www.musinsa.com/content/1459087537295022026,https://image.msscdn.net/cms/v2/content/file_1767944130755_163543799_9k0k11.jpg,,무신사풋웨어
,3,565643,2026-01-16 1:00:00,2026-01-15 15:00:00,asics,[무신사드롭] 아식스 x 할스튜디오,[무신사드롭] 아식스 x 할스튜디오,아식스 x 할스튜디오 협업 발매,https://www.musinsa.com/content/1460089505967436455,https://image.msscdn.net/cms/v2/content/file_1768365544101_62522000_be98le.jpg,,트렌드상품 & IP 기획
,3,564365,2026-01-16 2:00:00,2026-01-15 15:00:00,nangmanpitcher,[무신사드롭] 낭만투수 임찬규,낭만투수 임찬규,무신사드롭 발매,https://www.musinsa.com/content/1458374808557015606,https://image.msscdn.net/cms/v2/content/file_1767947115167_14565900_womzkm.jpg,,트렌드상품 & IP 기획
,3,562553,2026-01-16 5:00:00,2026-01-15 15:00:00,weverse,[무신사 드롭] 엔하이픈 THE SIN,엔하이픈 THE SIN,엔하이픈 THE SIN,https://www.musinsa.com/content/1458375816624429793,https://image.msscdn.net/cms/v2/content/file_1768455721454_122160500_hc99g7.jpg,,트렌드상품 & IP 기획
,3,565352,2026-01-18 10:00:00,2026-01-17 15:00:00,lee,리 x NCT 재민,리 x NCT 재민,포토카드 증정,https://www.musinsa.com/content/1460192321720769691,https://image.msscdn.net/cms/v2/content/file_1768208168806_853348299_0lya2q.jpg,"앱푸시 팀 슬롯으로 진행
화제성 컨텐츠
랜딩 url 추후기재",여성패션
,4,562447,2026-01-19 2:00:00,2026-01-18 15:00:00,merrell,머렐 26SS 발매 화제성,머렐 26SS 발매 화제성,머렐 26SS 발매 화제성,https://www.musinsa.com/content/1460886421840001642,https://image.msscdn.net/cms/v2/content/file_1768459357024_197922300_o38d3e.jpg,,무신사풋웨어
,4,562499,2026-01-19 2:00:00,2026-01-18 15:00:00,saucony,써코니 26SS 발매 화제성,써코니 26SS 발매 화제성,써코니 26SS 발매 화제성,https://www.musinsa.com/content/1461633242827894235,https://image.msscdn.net/cms/v2/content/file_1768551080397_433642899_vazo5y.jpg,,무신사풋웨어
,4,564228,2026-01-19 2:00:00,2026-01-18 15:00:00,fcanyang,[MUSINSADROP]FC 안양 유니폼 무신사 드롭,FC 안양 유니폼 무신사 드롭 발매,FC 안양 유니폼 발매,https://www.musinsa.com/content/1460179708287578747,https://image.msscdn.net/cms/v2/content/file_1768553111862_5228500_6xnhfy.jpg,,트렌드상품 & IP 기획
,4,565126,2026-01-19 2:00:00,2026-01-18 15:00:00,musinsastandardbt,무신사 스탠다드 뷰티 X 온더바디 컬래버 발매,무탠다드×온더바디 스페셜 컬래버,무신사 스탠다드 뷰티×온더바디 발을씻자 스페셜에디션 발매,https://www.musinsa.com/content/1452551575224050044,https://image.msscdn.net/cms/v2/content/file_1768193974406_416464599_c73inf.jpg,화제성 패키지 (뷰티 PB 브랜드 이종협업 컬래버 스페셜 에디션 발매),뷰티2
,4,565212,2026-01-19 2:00:00,2026-01-18 15:00:00,muwm,무음 x 예나 브랜디드 ppl 화제성,무음 x 예나,최대 00% 할인,https://www.musinsa.com/content/1461266600306627772,https://image.msscdn.net/cms/v2/content/file_1768463623310_134820200_116zxx.jpg,,무신사잡화
,4,566506,2026-01-19 2:00:00,2026-01-18 15:00:00,playercategorymkt,0119_스포츠위크_앱푸시,스포츠위크 클리어런스 최대 혜택,"최대 80% 할인 + 최대 30% 쿠폰\\n블랙야크, 내셔널지오그래픽 외 브랜드데이 최대 혜택 참여",https://www.musinsa.com/campaign/202601_player_1/0,https://image.msscdn.net/campaign_service/images/cpcms/2026/1346660ffdb4499c99677db4fcf061bf.jpg,,브랜드액티베이션
,4,564405,2026-01-19 3:00:00,2026-01-18 15:00:00,lego,W4 레고 1월 신상품 발매(특별기획전),무신사 신규 입점 신상품 발매,"1/19 (월) 오전 11시 특별기획전 발행, 26년 1월 신상품 발매, 대표상품 30% 할인",https://www.musinsa.com/content/1455115885011922008,https://image.msscdn.net/cms/v2/content/file_1768529649332_160243000_s6llnq.jpg,,무신사글로벌패션
,4,566723,2026-01-19 7:00:00,2026-01-18 15:00:00,glowny,글로니 클리어런스 위크 브랜드데이,글로니 브랜드 데이,"단 하루, 30% 쿠폰 혜택",https://www.musinsa.com/content/1460799747839685957,https://image.msscdn.net/cms/v2/content/cms_c4d8e52f-80bc-4.jpg,,여성패션
,4,565115,2026-01-21 15:00:00,2026-01-21 15:00:00,ajobyajooriginallabel,[화제성] 아조바이아조 X 후디진호 콜라보 한정발매,아조바이아조 X 후디진호 콜라보 한정발매,한정발매 단독 할인,https://www.musinsa.com/content/1463359966544440218,https://image.msscdn.net/cms/v2/content/file_1768962736731_163612100_zbzoho.jpg,,무신사유니섹스패션
,4,565800,2026-01-22 2:00:00,2026-01-21 15:00:00,notonlyfortoday,낫온리포투데이x재짱 협업 컬렉션 단독 발매,낫온리포투데이x재짱 협업 컬렉션 단독 발매,낫온리포투데이x재짱 협업 컬렉션 단독 발매 / 30% 할인 / 와플저지 트랙 집업 3컬러 /,https://www.musinsa.com/content/1463061397715329809,https://image.msscdn.net/cms/v2/content/file_1768891770304_376766899_x0ji3l.jpg,,무신사유니섹스패션
,4,566056,2026-01-22 2:00:00,2026-01-21 15:00:00,outstanding,아웃스탠딩 NEW 셀비지 데님 컬렉션(멋랩+인루언서6인화보),26 S/S NEW 셀비지 데님 컬렉션 한정 발매,아웃스탠딩 NEW 셀비지 데님 컬렉션 발매 10% 할인,https://www.musinsa.com/content/1433341020879264446,https://image.msscdn.net/cms/v2/content/file_1768890268386_441406200_ik51n2.jpg,,무신사남성패션
,4,568265,2026-01-23 2:00:00,2026-01-22 15:00:00,anderssonbell,앤더슨벨 화제성 패키지,앤더슨벨 스니커즈 라인 'NERO' 런칭,단독 발매,https://www.musinsa.com/content/1463418747556565292,https://image.msscdn.net/cms/v2/content/file_1768976798862_189318000_mekgb8.jpg,화제성,무신사남성패션
,4,568360,2026-01-24 2:00:00,2026-01-23 15:00:00,weirdworld,위얼드월드 화제성,위얼드월드 X 베이스크림,단독 발매,https://www.musinsa.com/content/1463700629523371092,https://image.msscdn.net/cms/v2/content/file_1769044506724_20509500_9j3m0h.jpg,화제성,무신사남성패션
,4,566300,2026-01-25 2:00:00,2026-01-24 15:00:00,playercategorymkt,[룰루레몬 메가쇼케이스] 앱푸시,룰루레몬 최대 혜택 종료 임박,최대 혜택 종료까지 24시간/n무신사에서 만나는 룰루레몬,https://www.musinsa.com/campaign/lululemon_2501,https://image.msscdn.net/campaign_service/images/cpcms/2026/0e880dd351bb4d88a05f1173fe889d97.jpg,,스포츠카테고리마케팅
,4,568757,2026-01-25 10:00:00,2026-01-24 15:00:00,drawfit,드로우핏 '패션플래닛' 스페셜 이슈,패션 플래닛 추천 드로우핏 아우터 최대 30% 할인,최대 00% 할인,https://www.musinsa.com/content/1464083728908260813,https://image.msscdn.net/cms/v2/content/file_1769135286065_132397300_aiyz3r.jpg,,무신사남성패션
,5,569556,2026-01-26 0:00:00,2026-01-25 15:00:00,holibanum,홀리바넘 2026 밀라노 올림픽 에디션,홀리바넘 2026 밀라노 올림픽 에디션,26 밀라노 올림픽을 기념하는 리미티드 퍼퓸,https://www.musinsa.com/content/1463365592371918123,https://image.msscdn.net/cms/v2/content/file_1769404631567_35334700_ki1zok.jpg,,라이프
,5,557815,2026-01-26 2:00:00,2026-01-25 15:00:00,,니아르 x 배리웨이 / 송이송이 붓기 관리템,배리웨이 x 니아르 컬래버,배리웨이 x 니아르 컬래버,https://www.musinsa.com/content/1462675081215386302,https://image.msscdn.net/cms/v2/content/file_1769134317919_14845400_ksrgkw.jpg,,뷰티2
,5,564423,2026-01-26 2:00:00,2026-01-25 15:00:00,geng,[무신사드롭] 젠지 x 무신사 2026 공식 유니폼,[무신사드롭] 젠지 X 무신사,젠지 X 무신사 오피셜 유니폼 발매,https://www.musinsa.com/content/1460802826697137377,https://image.msscdn.net/cms/v2/content/file_1768443071115_12385900_1k0v0m.jpg,,트렌드상품 & IP 기획
,5,565923,2026-01-26 2:00:00,2026-01-25 15:00:00,asics,아식스 조그 100S SMU 재입고 (스페셜),아식스 조그 100S SMU,아식스 조그 100S SMU 재입고,https://www.musinsa.com/content/1463057641119645311,https://image.msscdn.net/cms/v2/content/file_1768890738659_225648100_ewds64.jpg,,무신사풋웨어
,5,568107,2026-01-26 2:00:00,2026-01-25 15:00:00,musinsacampaign,무신사 월간 입점회 1월,월간 입점회 오픈!,"나이키 아이웨어, 레고, 드롤드무슈, 예그 등 최대 30% 쿠폰 및 결제혜택",https://www.musinsa.com/campaign/brandshowcase_2601,https://image.msscdn.net/campaign_service/images/cpcms/2026/2749534bd50d49ed9edfaafb167d92da.jpg,캠페인 기간 내 1회 발송 요청드립니다.,전사캠페인
,5,568198,2026-01-26 2:00:00,2026-01-25 15:00:00,liber,리베르 X 투어스 사이 컬렉션 프로모션,리베르 사이 컬렉션 오 드 퍼퓸,아이돌 Pick! 리베르 사이 컬렉션 특별 사은품 증정,https://www.musinsa.com/content/1463392286351136595,https://image.msscdn.net/cms/v2/content/file_1768970583145_287907699_cm1rhk.jpg,,뷰티2
,5,568404,2026-01-26 2:00:00,2026-01-25 15:00:00,molvany,몰바니 엔젤루밍 PPL,몰바니 x 엔젤루밍 쿠션 단독 구성,몰바니 x 엔젤루밍 쿠션 단독 구성,https://www.musinsa.com/content/1464085413047146097,https://image.msscdn.net/cms/v2/content/file_1769135681789_132903899_64bam9.jpg,,뷰티2
,5,568854,2026-01-26 2:00:00,2026-01-25 15:00:00,espoir,에스쁘아 본딩 프라이머 단독 선론칭,에스쁘아 본딩 프라이머 단독 선론칭,에스쁘아 본딩 프라이머 무신사 단독 선론칭,https://www.musinsa.com/content/1462707249517130838,https://image.msscdn.net/cms/v2/content/file_1769061807328_15361000_m2sjiv.jpg,"20% 할인 + 20% 쿠폰 +(증정) 메이크업 본딩 브러쉬+프라이머 7g

[브랜드사 마케팅 집행 내용]
1) 우선(WOOSUN)샵 협업 - 3천
- 메이크업 샵 ""우선""협업 / 대표원장,실장 IG,YT 업로드 PPL 
2) PR/바이럴/인플 - 8천
- 유튜버,인스타그래머,틱톡커,기타바이럴,PR키트 시딩,사전체험단 진행
3) 디지털 광고 - 35백만
- 캠페인 광고, 플친, 무신사 협력광고, 

총 약 1.5억 비용 집행",뷰티바잉
,5,569344,2026-01-26 2:00:00,2026-01-25 15:00:00,thecoldestmoment,더콜디스트모먼트 X 한로로 26 SS | 화제성,더콜디스트모먼트 X 한로로 26 SS,신상 최대 00%할인,https://www.musinsa.com/content/1458705927714330745,https://image.msscdn.net/cms/v2/content/file_1769392216739_196760000_m5nbsm.jpg,,여성패션
,5,568281,2026-01-26 3:00:00,2026-01-25 15:00:00,findkapoor,(스폐셜) 파인드카푸어 단독 컬렉션 발매,수빈 PICK 파인드카푸어,신상 10% 할인,https://www.musinsa.com/content/1463705451631447363,https://image.msscdn.net/cms/v2/content/file_1769045148488_193134900_y56kut.jpg,,무신사잡화
,5,558848,2026-01-27 1:00:00,2026-01-26 15:00:00,dunstforwomen,던스트 쇼케이스,던스트 쇼케이스,26SS 1차발매,기재예정,,,여성패션
,5,569038,2026-01-27 10:00:00,2026-01-26 15:00:00,lee,리 x NCT 재민,리 x NCT 재민,포토카드 증정,https://www.musinsa.com/content/1460192321720769691,https://image.msscdn.net/cms/v2/content/file_1768208168806_853348299_0lya2q.jpg,"앱푸시 팀 슬롯으로 진행
화제성 컨텐츠
랜딩 url 추후기재",여성패션
,5,567674,2026-01-27 11:00:00,2026-01-26 15:00:00,spao,스파오 라이브 커머스,스파오 라이브 커머스,스파오 라이브 커머스,,,,KAM
,5,565676,2026-01-28 2:00:00,2026-01-27 15:00:00,wilson,[스페셜] 윌슨 X 무신사 리그 컬렉션 단독 발매,윌슨 리그 컬렉션,가방 1SKU 단독 발매,추후 기재,,,버티컬스포츠
,5,565880,2026-01-28 2:00:00,2026-01-27 15:00:00,nothelove,노더럽 x GS25 휴대용 양치세트 발매,노더럽×GS25 트래블키트 발매,발매 기념 전 상품 특별 할인 + 구매허들 사은품 증정 이벤트 진,,,화제성 패키지,뷰티2
,5,568493,2026-01-28 2:00:00,2026-01-27 15:00:00,luvum,러븀 스페이스1 팝업,러븀 스페이스1 팝업,뷰티 스페이스1 팝업,https://www.musinsa.com/content/1452587779109809929,https://image.msscdn.net/cms/v2/content/file_1769131272231_804350599_l72cug.jpg,,뷰티2
,5,569387,2026-01-28 5:00:00,2026-01-27 15:00:00,prospecs,프로-스펙스 2026 FC서울 팀패키지 선발매,프로-스펙스 2026 FC서울 팀패키지 선발매,프로-스펙스 2026 FC서울 팀패키지 선발매 스페셜,생성예정,,,무신사풋웨어
,5,569379,2026-01-28 15:00:00,2026-01-28 15:00:00,niceghostclub,나이스고스트클럽 26 SS 2차,나이스고스트클럽 26 SS 2차,신상 10% 할인,,,,여성패션
,5,568465,2026-01-29 2:00:00,2026-01-28 15:00:00,acccategorymkt,여행 잡화위크,여행 잡화위크,1. 최대 80% 할인 + 최대 25% 쿠폰 + 더블 할인 최대 10% 장바구니 쿠폰 2. 브랜드 데이 3. 잡화 아이코닉 특가 4. 캐리어 구매 기회 결제 혜택 최대 1만2천원 즉시할인,https://www.musinsa.com/campaign/202601acc_week/0,https://image.msscdn.net/campaign_service/images/cpcms/2026/f9b318082b8443909de56b276393888d.jpg,,패션 & 뷰티카테고리마케팅
,5,568502,2026-01-29 2:00:00,2026-01-28 15:00:00,heynature,헤이네이처 어성초 밸런싱 이지 스왑 선런칭,헤이네이처 어성초 밸런싱 이지 스왑 선런칭,엑소 수호 모델 포카 증정,https://www.musinsa.com/content/1451476452356485647,https://image.msscdn.net/cms/v2/content/file_1769395279329_87501699_0xf1xx.jpg,,뷰티2
,5,565955,2026-01-30 2:00:00,2026-01-29 15:00:00,sinoon,시눈 x 나이키 쇼케이스,시눈 with 나이키,시눈 x 나이키 아스트로그래버 화보 쇼케이스,추후 기재,,,여성패션
,5,569031,2026-01-30 2:00:00,2026-01-29 15:00:00,sinoon,시눈 x 나이키 쇼케이스,시눈 with 나이키,구매 추첨 이벤트(시눈)/댓글 증정 이벤트(나이키)/시눈 상품 최대 30% 할인,추후 기재,,,여성패션
,5,568874,2026-01-31 3:00:00,2026-01-30 15:00:00,nike,에어 조던 1 올리브 화제성,에어 조던 1 올리브 발매,에어 조던 1 올리브 발매,,,,나이키
,5,568243,2026-01-31 15:00:00,2026-01-31 15:00:00,musinsacampaign,2월 멤버스데이 - 메인 랜딩,"단 3일, 무신사 멤버스데이",매월 1~3일은 무신사 멤버스데이 최대 30% 쿠폰 + 최대 5만원 적립금 + 최대 1만원 결제혜택,https://www.musinsa.com/campaign/membersday_2602,https://image.msscdn.net/campaign_service/images/cpcms/2026/1b7c9b4c112d43cf86074d75d3e83e93.jpg,,전사캠페인
,5,562435,2026-02-01 2:00:00,2026-01-31 15:00:00,puma,푸마 태클 헤리티지 선발매,푸마 태클 헤리티지 선발매,무신사 2주 선발매,,,,무신사풋웨어
,5,569032,2026-02-01 11:00:00,2026-01-31 15:00:00,mmlg,엠엠엘지 X 디키즈,엠엠엘지 X 디키즈,10% 쿠폰,,,랜딩 URL 금주내 기재,여성패션
,5,569331,2026-02-01 15:00:00,2026-02-01 15:00:00,glowny,글로니 26 클래식 라인 발매,글로니 26 클래식 라인 발매,*프로모션 스킴 협의중. 추후 업데이트,,,,여성패션
광고진행,6,564701,2026-02-02 2:00:00,2026-02-01 15:00:00,lmc,엘엠씨 스타 캡슐 컬렉션 단독 발매 with 강경민,엘엠씨 스타캡슐컬렉션 단독발매,1. 스타캡슐컬렉션 (4sku) 무신사 단독 발매 2. 인플루언서 강경민 착장 화보 공개 (화보 착장 PPT) 3. 최대 30% 할인 + 최대 15% 쿠폰/사은품 증정/무료반품,https://www.musinsa.com/content/1458007411337681149,https://image.msscdn.net/cms/v2/content/cms_824c19ae-6827-4.jpg,,여성패션
광고진행,6,566356,2026-02-02 2:00:00,2026-02-01 15:00:00,jansport,잔스포츠 26SS 무신사 단독 컬렉션,잔스포츠 26SS 단독 컬렉션,최대 5% 할인+20% 쿠폰,추후 쇼케이스 페이지 링크 전달 예정,,,무신사잡화
광고진행,6,569503,2026-02-02 2:00:00,2026-02-01 15:00:00,eyeer,이와이이알 X 불량연애 키짱,이와이이알 X 불량연애 키짱,화제성 패키지 / 최대20%+10%쿠폰,https://www.musinsa.com/brand/eyeer/products?gf=A,,,여성패션
광고진행,6,569912,2026-02-02 2:00:00,2026-02-02 2:00:00,drawfit,드로우핏 서강준 26SP 룩북 공개,드로우핏 서강준 26SP 룩북 공개,발매 기념 쿠폰 5%,https://www.musinsa.com/content/1466309499324959954,https://image.msscdn.net/cms/v2/content/file_1769666081377_671975899_pissvc.jpg,,무신사남성패션
광고진행,6,569919,2026-02-02 2:00:00,2026-02-02 2:00:00,returnity,리터니티 민슈아 PPL,민슈아가 선택한\n율무 단독 구성,공식 입점 & 인플루언서 PPL,https://www.musinsa.com/content/1466630614270312563,https://image.msscdn.net/cms/v2/content/file_1769742547835_194546799_ayuiu6.jpg,*스페셜 컨텐츠 랜딩 링크로 수정 예정,뷰티2
광고진행,6,570444,2026-02-02 2:00:00,2026-02-02 2:00:00,beautycategorymkt,2월 오직 무신사 뷰티,오직 무신사 뷰티 20% 쿠폰부터 1.5만원 쿠폰까지,오직 무신사 뷰티 20% 쿠폰부터 1.5만원 쿠폰까지,https://www.musinsa.com/campaign/omb2602,https://image.msscdn.net/campaign_service/images/cpcms/2026/e0d64cd63cea4321aabd84579d3870d5.jpg,,패션 & 뷰티카테고리마케팅
광고진행,6,570852,2026-02-02 6:00:00,2026-02-02 6:00:00,coor,쿠어 26SS 1차 발매,쿠어 26SS 1차 발매,10% 세일,https://www.musinsa.com/content/1465620631168715801,https://image.msscdn.net/cms/v2/content/cms_e141175d-f477-4.jpg,,무신사남성패션
광고진행,6,568694,2026-02-02 10:00:00,2026-02-01 15:00:00,toocoolforschool,"투쿨포스쿨 벨벳펜슬 아트클래스 벨루어 펜슬 론칭, 최대 71%","투쿨포스쿨 벨벳펜슬 아트클래스 벨루어 펜슬 론칭, 최대 71%","투쿨포스쿨 벨벳펜슬 아트클래스 벨루어 펜슬 론칭, 최대 71%",https://www.musinsa.com/content/1458718135975081317,https://image.msscdn.net/cms/v2/content/file_1768875544295_2051236300_dvh5v8.jpg,,뷰티1
광고진행,6,569513,2026-02-03 2:00:00,2026-02-02 15:00:00,tansanmagnesium,탄산마그네슘 x 설라노 콜라보,탄산마그네슘 x 설라노 콜라보,화제성패키지 / 20%쿠폰,https://www.musinsa.com/brand/tansanmagnesium/products?gf=A&sortCode=NEW,,,여성패션
